"behavior","load","metric_name","mono_file","mono_users_total","mono_throughput_per_sec","mono_avg_ms","mono_p95_ms","mono_count","mono_err","micro_file","micro_users_total","micro_throughput_per_sec","micro_avg_ms","micro_p95_ms","micro_count","micro_err"
"Chat","10","create_room","monolithic_perf_scenario108.log","10","0.008333333333333333","10.922","20","1","0","scaledx_1_scenario_8_users_10.log","10","0.008333333333333333","59.648","100","1","0"
"Chat","10","enter_room","monolithic_perf_scenario108.log","10","0.08333333333333333","12.662","20","10","0","scaledx_1_scenario_8_users_10.log","10","0.08333333333333333","67.679","100","10","0"
"Chat","10","login","monolithic_perf_scenario108.log","10","0.08333333333333333","46.105","50","10","0","scaledx_1_scenario_8_users_10.log","10","0.08333333333333333","37.254","50","10","0"
"Chat","10","send_message","monolithic_perf_scenario108.log","10","2.333","5.166","10","280","0","scaledx_1_scenario_8_users_10.log","10","2.325","16.92","50","279","0"
"Chat","100","create_room","monolithic_perf_scenario109.log","100","0.008333333333333333","4.978","5","1","0","scaledx_1_scenario_9_users_100.log","100","0.008333333333333333","13.667","20","1","0"
"Chat","100","enter_room","monolithic_perf_scenario109.log","100","0.8333333333333334","28.201","50","100","0","scaledx_1_scenario_9_users_100.log","100","0.8333333333333334","97.78","200","100","0"
"Chat","100","login","monolithic_perf_scenario109.log","100","0.8333333333333334","85.948","200","100","0","scaledx_1_scenario_9_users_100.log","100","0.8333333333333334","91.007","200","100","0"
"Chat","100","send_message","monolithic_perf_scenario109.log","100","23.208","3.988","10","2785","0","scaledx_1_scenario_9_users_100.log","100","23.225","14.091","50","2787","0"
"Chat","1000","create_room","monolithic_perf_scenario110.log","1000","0.008333333333333333","7.684","10","1","0","scaledx_1_scenario_10_users_1000.log","1000","0.008333333333333333","11.547","20","1","0"
"Chat","1000","enter_room","monolithic_perf_scenario110.log","1000","8.333333333333334","37.569","50","1000","0","scaledx_1_scenario_10_users_1000.log","1000","8.333333333333334","157.04","500","1000","0"
"Chat","1000","login","monolithic_perf_scenario110.log","1000","8.333333333333334","272.062","1000","1000","0","scaledx_1_scenario_10_users_1000.log","1000","8.333333333333334","116.591","200","1000","0"
"Chat","1000","send_message","monolithic_perf_scenario110.log","1000","232.542","3.102","10","27905","0","scaledx_1_scenario_10_users_1000.log","1000","232.45","8.346","20","27894","0"
"Chat","5000","create_room","monolithic_perf_scenario111.log","5000","0.008333333333333333","4.742","5","1","0","scaledx_1_scenario_11_users_5000.log","5000","0.008333333333333333","12.651","20","1","0"
"Chat","5000","enter_room","monolithic_perf_scenario111.log","5000","41.666666666666664","28.295","50","5000","0","scaledx_1_scenario_11_users_5000.log","5000","41.666666666666664","109.214","200","5000","0"
"Chat","5000","login","monolithic_perf_scenario111.log","5000","41.666666666666664","98.714","200","5000","0","scaledx_1_scenario_11_users_5000.log","5000","41.666666666666664","98.133","200","5000","0"
"Chat","5000","send_message","monolithic_perf_scenario111.log","5000","1163.5","2.216","10","139620","0","scaledx_1_scenario_11_users_5000.log","5000","1147.4","55.324","500","137688","2880"
